Title,Website,Phone Number,Category,Reviews,Rating,Longitude,Latitude,Facility Wifi,Facility Projector,Facility Food & Drink,Facility Whiteboard,Facility AV Equipment,Facility Stationeries,Harga,Kapasitas,Size Room,Address,Kabupaten,Review,Image,Review_preprocessed,clean stopword
GoWork Senayan City - Coworking and Office Space,http://go-work.com,2150986170,Coworking space,94,4.8,106.7976341,-6.2275834,Yes,Yes,No,Yes,No,No,130000,10,Small,Panin Tower. 15th Floor. Senayan City. Jl. Asia Afrika No.Lot. 19. Daerah Khusus Ibukota Jakarta 10270,Jakarta Pusat,"Survey area kerja, pelayanan ramah dan memberikan penjelasan dengan baik, Selain lokasinya yg strategis dan connecting mall, Staf2 GoWork Sency disini benar2 helpfull dan baikkkk sekaliii, bahkan kami pun berteman di luar jam kerja kantor..kantor disini juga bersih, nyaman , Tempatnya enak, teamnya juga ngebatu banget... Bersih juga dan engga berisik, Udah gitu Goworknya bisa nyambung ke mall Senayan city, Akses parkir juga gampang, Suhunya terlalu dingin padahal tidak terlalu ramai, Akses parkir juga gampang, ",https://media.flyspaces.com/docs/spaces/2c8e5cf7-6c52-44e6-ae73-a917dbd2d29f-meetingroomsency-9-min.jpg?w=412,survey area kerja pelayanan ramah dan memberikan penjelasan dengan baik selain lokasi yg strategis dan connecting mall staf gowork sency disini benar helpfull dan baik sekali bahkan kami pun berteman di luar jam kerja kantor kantor disini juga bersih nyaman tempat enak team juga ngebatu banget bersih juga dan engga berisik udah gitu gowork bisa nyambung ke mall senayan city akses parkir juga gampang suhu terlalu dingin padahal tidak terlalu ramai akses parkir juga gampang,survey area layan ramah lokasi yg strategis connecting mall staf gowork sency helpfull teman jam kantor kantor bersih nyaman team ngebatu banget bersih engga berisik udah gitu gowork nyambung mall senayan city akses parkir gampang suhu dingin ramai akses parkir gampang
Hotel Bidakara Meeting Room,http://www.bidakarahotel.com,2183793555,Meeting room,393,4.5,106.8420181,-6.2401633,Yes,Yes,Yes,Yes,No,No,1425000,70,Large,Jl. Gatot Subroto. RT.8/RW.8. Menteng Dalam. Kec. Tebet. Kota Jakarta Selatan. Daerah Khusus Ibukota Jakarta 12870,Jakarta Selatan,"Hotelnya oke. Parkiran luas cm agak jauh dr hotel, Hotel dengan lokasi strategis dan lahan parkir yang luas. Cocok untuk kegiatan kantor dan transit untuk urusan bisnis, byk meeting room yg ditawarkan dengan harga yg kompetitif. ad mesjid di basement, foodcourt, minimart, kios jajanan, travel dll. komplit deh, real hotel, ruang meeting dan menara bidakara luas banget. Muter2 capek juga brow, Mantap tuk event2 tingkat nasional, Rakornas, seminar dll. Parkiran luas cm agak jauh dr hotel, lokasi strategis dan lahan parkir yang luas. Cocok untuk kegiatan kantor dan transit untuk urusan bisnis, parkir luas fasilitas pendukung bagus dan lokasi yg strategis, Parkir mobil terlalu mahal, Parkir luas",https://www.bidakarahotel.com/wp-content/uploads/sites/198/2021/08/nakula2.jpg,hotel oke parkiran luas cm agak jauh dr hotel hotel dengan lokasi strategis dan lahan parkir yang luas cocok untuk kegiatan kantor dan transit untuk urusan bisnis byk meeting room yg ditawarkan dengan harga yg kompetitif ad mesjid di basement foodcourt minimart kios jajanan travel dll komplit deh real hotel ruang meeting dan menara bidakara luas banget muter capek juga brow mantap tuk event tingkat nasional rakornas seminar dll parkiran luas cm agak jauh dr hotel lokasi strategis dan lahan parkir yang luas cocok untuk kegiatan kantor dan transit untuk urusan bisnis parkir luas fasilitas pendukung bagus dan lokasi yg strategis parkir mobil terlalu mahal parkir luas,hotel oke parkir luas cm dr hotel hotel lokasi strategis lahan parkir luas cocok giat kantor transit urus bisnis byk meeting room yg tawar harga yg kompetitif ad mesjid basement foodcourt minimart kios jajan travel dll komplit deh real hotel ruang meeting menara bidakara luas banget muter capek brow mantap tuk event tingkat nasional rakornas seminar dll parkir luas cm dr hotel lokasi strategis lahan parkir luas cocok giat kantor transit urus bisnis parkir luas fasilitas dukung bagus lokasi yg strategis parkir mobil mahal parkir luas
Paragon Meeting & Conference Room,https://paragon.co.id,213917070,Event venue,43,4.3,106.830902,-6.187038,Yes,Yes,Yes,Yes,Yes,Yes,370000,60,Large,Jl. KH Wahid Hasyim No.31a. RT.18/RW.6. Kb. Sirih. Kec. Menteng. Kota Jakarta Pusat. Daerah Khusus Ibukota Jakarta 10340,Jakarta Pusat,"sarana meeting yang lengkap..cocok deh buat pertemuan meeting dengan relasi bisnis, Bagus untuk meeting. Fasilitasnya saja yg harus diperbarui., sarana meeting yang lengkap..cocok deh buat pertemuan meeting dengan relasi bisnis, Bagus untuk meeting",https://paragon.co.id/wp-content/uploads/elementor/thumbs/IMG_6039_DxO-1-ed-scaled-oqj6jcz84h3cwbzcxy8kw4syh3r0jzum5ta3635o68.jpg,sarana meeting yang lengkap cocok deh buat pertemuan meeting dengan relasi bisnis bagus untuk meeting fasilitas saja yg harus diperbarui sarana meeting yang lengkap cocok deh buat pertemuan meeting dengan relasi bisnis bagus untuk meeting,sarana meeting lengkap cocok deh temu meeting relasi bisnis bagus meeting fasilitas yg sarana meeting lengkap cocok deh temu meeting relasi bisnis bagus meeting
Nusa Indah Meeting Room,http://millenniumhotels.com,212303636,Meeting room,2,3.0,106.8166371,-6.1827335,Yes,Yes,Yes,Yes,Yes,Yes,4200000,100,Large,Millineum Hotel Sirih Jkt. Jl. H. Fachrudin No.3. RT.1/RW.7. Kp. Bali. Kecamatan Tanah Abang. Kota Jakarta Pusat. Daerah Khusus Ibukota Jakarta 10250,Jakarta Pusat,"harga sangat mahal, 3 bintang dari 5",https://images.meetingsbooker.com/images/venues/6f5ece64ec674776bafc9b81a.jpg,harga sangat mahal bintang dari,harga mahal bintang
SQuare One (SQ) Function Hall & Meeting Rooms,https://squareonefunctionhall.com/,82122131088,Function room facility,11,4.8,106.7846396,-6.2941532,Yes,Yes,Yes,No,Yes,No,500000,15,Small,South Quarter. Jl. R.A. Kartini No.Kav. 8. RT.10/RW.4. West Cilandak. Cilandak. South Jakarta City. Jakarta 12430,Jakarta Selatan,"Tempatnya bagus sangat mendukung untuk meeting atau event lainnya, lokasi strategis dan penyewa sangat membantu, Ruangan luas, full AC, ada LED screen, kursinya banyak, ada tempat lokernya juga, soundnya bagus, Good place, cozy place, tempat oke",https://squareonefunctionhall.com/wp-content/uploads/2021/02/Revised-1.jpg,tempat bagus sangat mendukung untuk meeting atau event lain lokasi strategis dan penyewa sangat membantu ruangan luas full ac ada led screen kursi banyak ada tempat loker juga sound bagus good place cozy place tempat oke,bagus dukung meeting event lokasi strategis sewa bantu ruang luas full ac led screen kursi loker sound bagus good place cozy place oke
SAMOFIS | Coworking Space | Virtual Office | Meeting Room,http://samofis.com,2131904292,Office space rental agency,56,4.9,106.8373009,-6.1927443,Yes,Yes,No,Yes,No,No,100000,8,Small,Jl. Cikini IV No.10. RT.15/RW.5. Cikini. Kec. Menteng. Kota Jakarta Pusat. Daerah Khusus Ibukota Jakarta 10330,Jakarta Pusat,"Good place, tempatnya nyaman bersih dan wangi, pelayanannya ramah dan amanah, lokasi strategis berada di tengah kota deket mau kemana-mana, deket stasiun, warung makan, Aksesnya strategis, tempatnya nyaman, pelayanannya sangat ramah, kinerjanya cepat. Terimakasih SamOfi, Tempatnya strategis, tempatnya jg nyaman, spacenya lumayan luas, fasilitas jg lengkap dan managementnya jg helpfull",https://samofis.space/wp-content/uploads/2019/06/conferemce-hall.jpg,good place tempat nyaman bersih dan wangi pelayanan ramah dan amanah lokasi strategis berada di tengah kota deket mau kemana mana deket stasiun warung makan akses strategis tempat nyaman pelayanan sangat ramah kinerja cepat terimakasih samofi tempat strategis tempat jg nyaman space lumayan luas fasilitas jg lengkap dan management jg helpfull,good place nyaman bersih wangi layan ramah amanah lokasi strategis kota deket deket stasiun warung makan akses strategis nyaman layan ramah cepat terimakasih samofi strategis jg nyaman space lumayan luas fasilitas jg lengkap management jg helpfull
UnionSPACE - Metropolitan Tower (Serviced Office | Virtual Office | Meeting Room | Coworking),https://unionspace.co.th/Metropolitan-Tower.html,2129222922,Coworking space,189,4.6,106.7848043,-6.29297,Yes,Yes,Yes,Yes,No,Yes,300000,18,Small,Metropolitan Tower Lantai 13A Jl. R. A. Kartini. Jl. TB Simatupang No.Kav. 14. RT.10/RW.4. Cilandak Bar.. Kec. Cilandak. Kota Jakarta Selatan. Daerah Khusus Ibukota Jakarta 12430,Jakarta Selatan,"Nice place, Nice people !! Waktu saya dateng di sambut dengan baik  dengan kopi hangat yang sangat nikmat. Nyaman untuk bekerja,internet nya cepat, interior nya juga bagus cocok unuk hangout dan foto foto, Free coffee, good wifi & lots of friends, interior yang menarik didukung pula dengan internet cepat, cocok untuk meeting, suasananya cozy, dengan pelayanan staffnya yang ramah dan koperatif, Tempat udud deket parkir motor, hanya untuk ahli hisap, Ojol anter barang  bntar doang suruh bayar parkir",https://www.officenow.co.id/wp-content/uploads/2020/05/us-id-mt-meeting-1.jpg,nice place nice people waktu saya dateng di sambut dengan baik dengan kopi hangat yang sangat nikmat nyaman untuk bekerja internet cepat interior juga bagus cocok unuk hangout dan foto foto free coffee good wifi lots of friends interior yang menarik didukung pula dengan internet cepat cocok untuk meeting suasana cozy dengan pelayanan staff yang ramah dan koperatif tempat udud deket parkir motor ha untuk ahli hisap ojol anter barang bntar doang suruh bayar parkir,nice place nice people dateng sambut kopi hangat nikmat nyaman internet cepat interior bagus cocok unuk hangout foto foto free coffee good wifi lots of friends interior tarik dukung internet cepat cocok meeting suasana cozy layan staff ramah koperatif udud deket parkir motor ha ahli hisap ojol anter barang bntar doang suruh bayar parkir
Avenue8 Offices,http://avenue8offices.com,2150200889,Coworking space,121,4.8,106.8276768,-6.1868509,Yes,Yes,Yes,Yes,No,No,200000,16,Small,Tamansari Parama Office. Jl. KH Wahid Hasyim No.84. RW.3. Kb. Sirih. Kec. Menteng. Jakarta. Daerah Khusus Ibukota Jakarta 10340,Jakarta Pusat,"Design meeting room nya professional and comfortable cocok buat team meeting or ketemu client. Lokasi juga sangat strategis, Pertama kali nya ngelihat desain bangunan sebagus ini dan ruangan nya bersih .salah satu tempat meeting room Jakarta yang paling oke sih, Tempat meeting ini dekat dan strategis, mudah dijnagkau. Meeting room ter best di jakarta,Virtual office Jakarta dengan arsitektur yang keren, Wifi juga kencang dan bersih banget",https://images.squarespace-cdn.com/content/v1/592cd511197aea28581f5469/1574848847162-KBBX407F5VZA1O9EPX0Y/2.+avenue8+meeting+room+thamrin+menteng+jakarta+pusat.jpg?format=1000w,design meeting room professional and comfortable cocok buat team meeting or ketemu client lokasi juga sangat strategis pertama kali ngelihat desain bangunan sebagus ini dan ruangan bersih salah satu tempat meeting room jakarta yang paling oke sih tempat meeting ini dekat dan strategis mudah dijnagkau meeting room ter best di jakarta virtual office jakarta dengan arsitektur yang keren wifi juga kencang dan bersih banget,design meeting room professional and comfortable cocok team meeting or ketemu client lokasi strategis ngelihat desain bangun bagus ruang bersih salah meeting room jakarta oke sih meeting strategis mudah dijnagkau meeting room ter best jakarta virtual office jakarta arsitektur keren wifi kencang bersih banget
KEDASI @ The Cause Event Space & Auditorium,http://kedasi.co.id,81902330677,Event venue,64,4.5,106.8158076,-6.1971335,Yes,No,Yes,Yes,No,No,120000,20,Medium,Graha Niaga Thamrin Level 6. Kebon Kacang. Jl. K.H. Mas Mansyur. RT.2/RW.8. Kb. Melati. Kecamatan Tanah Abang. Kota Jakarta Pusat. Daerah Khusus Ibukota Jakarta 10230,Jakarta Pusat,"Tempat yang bagus untuk acara atau kegiatan meeting. Fleksibel, cukup murah, empat yang bagus untuk rapat umum, Pertemuan di sini enak tempstnya dapat makanannya jg enak..Keren, Parkiran sempit, kalo lg acara diaudit dengan jumlah besar akan kesulitan cari parkir. Begitu juga saat selesai acara, harus sabar menunggu lift",https://www.kedasi.co.id/assets/uploads/banner_event_venues.jpg,tempat yang bagus untuk acara atau kegiatan meeting fleksibel cukup murah empat yang bagus untuk rapat umum pertemuan di sini enak tempst dapat makanan jg enak keren parkiran sempit kalo lg acara diaudit dengan jumlah besar akan kesulitan cari parkir begitu juga saat selesai acara harus sabar menunggu lift,bagus acara giat meeting fleksibel murah bagus rapat temu tempst makan jg keren parkir sempit kalo lg acara audit sulit cari parkir selesai acara sabar tunggu lift
Kapuas Grand Ball Room,http://industri.orchardzhotel.com,2162317788,Meeting room,7,4.7,106.8359332,-6.1477728,Yes,Yes,Yes,Yes,Yes,Yes,5000000,200,Large,Orchardz Hotel. Jl. Industri Raya No.16. RT.16/RW.3. North Gunung Sahari. Sawah Besar. Central Jakarta City. Jakarta 10720,Jakarta Pusat,"Ruangannya cukup luas dan nyaman untuk rapat , Cukup representative utk acara atau kegiatan baik formal maupun non formal, Bagus dan nyaman ",https://d2ile4x3f22snf.cloudfront.net/wp-content/uploads/sites/229/2017/12/04142822/FX8C0701-Edit-banner.jpg,ruangan cukup luas dan nyaman untuk rapat cukup representative utk acara atau kegiatan baik formal maupun non formal bagus dan nyaman,ruang luas nyaman rapat representative utk acara giat formal non formal bagus nyaman
vOffice Indonesia - Headquarter (Virtual Office | Serviced Office | Event Space | Meeting Room),http://voffice.co.id,81280055105,Office space rental agency,471,4.9,106.8207909,-6.2300537,Yes,Yes,Yes,Yes,No,No,250000,20,Medium,Level 29 Centennial Tower. Jl. Gatot Subroto No.27. RT.2/RW.2. Karet Semanggi. Kecamatan Setiabudi. Kota Jakarta Selatan. Daerah Khusus Ibukota Jakarta 12950,Jakarta Selatan,"Lokasi yang sangat strategis, fasilitas yang lengkap dan staff yang ramah dan responsif,sangat membantu perusahaan kami, Very Nice place to work, fasilitas komplit, tidak perlu repot2 untuk mengurus hal2 yang kecil seperti disediakan minum ketika meeting, disediakan OB untuk membersihkan kantor dan fasilitas pantry.. wifi dan telp jg sudah disediakan.. 👍🏼👍🏼👍🏼 recomended",https://voffice.co.id/jakarta-virtual-office/img/locations/centennial-tower/meeting-room.jpg,lokasi yang sangat strategis fasilitas yang lengkap dan staff yang ramah dan responsif sangat membantu perusahaan kami very nice place to work fasilitas komplit tidak perlu repot untuk mengurus hal yang kecil seperti disediakan minum ketika meeting disediakan ob untuk membersihkan kantor dan fasilitas pantry wifi dan telp jg sudah disediakan recomended,lokasi strategis fasilitas lengkap staff ramah responsif bantu usaha very nice place to work fasilitas komplit repot urus sedia minum meeting sedia ob bersih kantor fasilitas pantry wifi telp jg sedia recomended
KEDASI @Pluit | Co-Working Space | Serviced Office | Virtual Office | Meeting Room,http://kedasi.co.id,2122672230,Coworking space,14,5.0,106.7820138,-6.1170324,Yes,No,Yes,Yes,No,No,75000,12,Small,Jalan Muara Karang Raya No.24 A-B Lantai 2-3. RT.11/RW.3. Pluit. Penjaringan. North Jakarta City. Jakarta 14450,Jakarta Utara,"Di Kedasi akhirnya saya & team dpt tempat kerja yg bikin betah. Jadi ngak usah pindah-pindah lagi kaya sebelumnya deh, Kerja di Kedasi memang nyaman... temen2 Aja sample keasikan , Mantappp tempatnya,pelayananya juga OK,,suasananya nyaman jadi bikin Betah dan lama-lama di Kedasi..haha",https://deskby.com/image/space/deskby-15713722061.jpg,di kedasi akhir saya team dpt tempat kerja yg bikin betah jadi ngak usah pindah pindah lagi kaya sebelum deh kerja di kedasi memang nyaman temen aja sample keasikan mantap tempat pelayana juga ok suasana nyaman jadi bikin betah dan lama lama di kedasi haha,das team dpt yg bikin betah ngak pindah pindah kaya deh das nyaman temen aja sample asi mantap pelayana ok suasana nyaman bikin betah das haha
Royal Ballroom Royal Kuningan Hotel Jakarta,http://www.royalkuningan.com,2129380738,Meeting room,70,4.5,106.8301607,-6.206857,Yes,No,Yes,Yes,Yes,Yes,12000000,100,Large,Royal Kuningan Hotel. Jl. Kuningan Mulia No.2. RT.1/RW.6. Guntur. Kecamatan Setiabudi. Kota Jakarta Selatan. Daerah Khusus Ibukota Jakarta 12980,Jakarta Selatan,"Tempat parkir juga cukup luas... sehingga membuat nyaman para tamu yang datang ke tempat ini, hotelnya mudah dijangkau, kualitas ruang meeting baik, rasa makanan enak, Lobby nyaman, harga makanannya juga terjangkau, akses mudah dicapai dan mudah ditemui, parkiran luas dan aman",https://www.royalkuningan.com/wp-content/uploads/2017/11/meeting-conference-ballroom-02-1024x493.jpg,tempat parkir juga cukup luas sehingga membuat nyaman para tamu yang datang ke tempat ini hotel mudah dijangkau kualitas ruang meeting baik rasa makanan enak lobby nyaman harga makanan juga terjangkau akses mudah dicapai dan mudah ditemui parkiran luas dan aman,parkir luas nyaman tamu hotel mudah jangkau kualitas ruang meeting makan lobby nyaman harga makan jangkau akses mudah capai mudah temu parkir luas aman
The Executive Centre - Sampoerna Strategic Square,http://executivecentre.com,215750800,Coworking space,11,4.5,106.8182258,-6.2167906,Yes,Yes,No,Yes,No,No,170000,12,Small,Level 18 & 30. South Tower. Sampoerna Strategic Square. Jl. Jenderal Sudirman No.Kav. 45-46. RT.3/RW.4. Karet Semanggi. Jakarta. Kota Jakarta Selatan. Daerah Khusus Ibukota Jakarta 12930,Jakarta Selatan,Great Offices!,https://www.completeofficesearch.com/wp-content/uploads/office/8a6fa2edee2bd499eadefa16932e3dd2.jpg,great offices,great offices
HARRIS Hotel Tebet Jakarta,http://tebet-jakarta.harrishotels.com,218303355,Meeting room,22,4.2,106.8479561,-6.2230159,Yes,Yes,Yes,Yes,Yes,Yes,250000,30,Medium,Jl. Dr. Saharjo No.191. RT.6/RW.1. Manggarai Sel.. Kec. Tebet. Kota Jakarta Selatan. Daerah Khusus Ibukota Jakarta 12960,Jakarta Selatan,"meeting room ok, Ruang meeting bersih dg desain simple, Coffee break lezat,
Ruang meeting bervarian, namun ada yg sempit, Meeting room Harris cukup oke, Makanannya enak juga, Ruang meeting sangat recommended, Tidak ada koordinasi antara vendor parkir dan hotel, musholla ny jauh dr ruang meeting dan ada di parkiran B2 itu bikin ilfeel sih",https://www.discoverasr.com/content/dam/tal/media/images/properties/indonesia/jakarta/harris-hotel-tebet-jakarta/meetings-and-events/HTBJ-banner-mobile-meeting.jpg.transform/ascott-lowres/image.jpg,meeting room ok ruang meeting bersih dg desain simple coffee break lezat ruang meeting bervarian namun ada yg sempit meeting room harris cukup oke makanan enak juga ruang meeting sangat recommended tidak ada koordinasi antara vendor parkir dan hotel musholla jauh dr ruang meeting dan ada di parkiran b itu bikin ilfeel sih,meeting room ok ruang meeting bersih dg desain simple coffee break lezat ruang meeting varian yg sempit meeting room harris oke makan ruang meeting recommended koordinasi vendor parkir hotel musholla dr ruang meeting parkir bikin ilfeel sih
Virtual Office. Meeting Room. Event Space & Serviced Office - Deskby.com,http://deskby.com,85770003700,Meeting room,12,4.8,106.807781,-6.2240502,Yes,Yes,No,Yes,Yes,No,240000,4,Small,IDX Incubator. Menara Mandiri I. 16th Floor. Jl. Jenderal Sudirman No.Kav 54-55. RT.5/RW.3. Senayan. Kec. Kby. Baru. Kota Jakarta Selatan. Daerah Khusus Ibukota Jakarta 12190,Jakarta Selatan,"Tempat yang nyaman untuk bekerja di kawasan SCBD, Di dekat sini pun dekat dengan stasiun MRT baru, tempatnya cozy buat start up, Tempatnya bagus dan homie banget, dengan design yg menarik lalu penggunaan warna yang enak juga, Nyaman juga tempat untuk meetingnya",https://s3-ap-southeast-1.amazonaws.com/xwork-gallery/rooms/images/397/1510813055.27/397_1510813055.27.lg.JPEG,tempat yang nyaman untuk bekerja di kawasan scbd di dekat sini pun dekat dengan stasiun mrt baru tempat cozy buat start up tempat bagus dan homie banget dengan design yg menarik lalu penggunaan warna yang enak juga nyaman juga tempat untuk meeting,nyaman kawasan scbd stasiun mrt cozy start up bagus homie banget design yg tarik warna nyaman meeting
CEO SUITE One Pacific Place,http://ceosuite.com,2125502550,Business center,236,4.0,106.8102582,-6.2241031,Yes,Yes,Yes,Yes,Yes,Yes,200000,30,Medium,One Pacific Place. 15th Floor. Jl. Jenderal Sudirman No.Kav. 52-53. RT.5/RW.3. Senayan. Kec. Kby. Baru. Kota Jakarta Selatan. Daerah Khusus Ibukota Jakarta 12190,Jakarta Selatan,"suasana nyaman dengan interior yang mewah dan didukung oleh keramahan pelayanan staff yang terjaga, highly recommended, ruang meetingnya keren, Enak loh ngantor disini, lokasi nya oke, staff nya jg professional..gak nyesel milih berkantor disini, Design interiornya sangat mewah dan saya disambut dengan hangat oleh resepsionis yang ramah dan profesional. Dapat dikatakan bahwa CEO SUITE merupakan kantor berbintang 5, Saya mendapatkan pengalaman yang sangat menyenangkan dalam menggunakan fasilitas dan service CEO SUITE",https://media.flyspaces.com/docs/1857-1483415092.jpg,suasana nyaman dengan interior yang mewah dan didukung oleh keramahan pelayanan staff yang terjaga highly recommended ruang meeting keren enak loh ngantor disini lokasi oke staff jg professional gak nyesel milih berkantor disini design interior sangat mewah dan saya disambut dengan hangat oleh resepsionis yang ramah dan profesional dapat dikatakan bahwa ceo suite merupakan kantor berbintang saya mendapatkan pengalaman yang sangat menyenangkan dalam menggunakan fasilitas dan service ceo suite,suasana nyaman interior mewah dukung ramah layan staff jaga highly recommended ruang meeting keren loh ngantor lokasi oke staff jg professional gak nyesel milih kantor design interior mewah sambut hangat resepsionis ramah profesional ceo suite kantor bintang alam senang fasilitas service ceo suite
SMESCO Indonesia,http://smescoindonesia.com,2127535400,Meeting room,128,4.5,106.835313,-6.241994,No,Yes,Yes,No,Yes,No,500000,15,Small,Jl. Gatot Subroto. RT.11/RW.3. Pancoran. Kec. Pancoran. Kota Jakarta Selatan. Daerah Khusus Ibukota Jakarta 12780,Jakarta Selatan,"Gedung yang sangat luas, parkir yang cukup baik. Kebersihan fasilitas umum seperti eskalator, toilet dll sangat baik, Tempat seminar yang nyaman untuk banyak orang tersedia food court untuk para pengunjung namun kurang nya tempat duduk yang menjadi kurang nyaman, untuk akses naik busway juga gampang tinggal jalan sedikit untuk ke haltenya, Gedung unik, Tempatnya luass, Ada mesjidnya juga",https://smesco.go.id/storage//filemanager/rent-office/ruangan-1.png,gedung yang sangat luas parkir yang cukup baik kebersihan fasilitas umum seperti eskalator toilet dll sangat baik tempat seminar yang nyaman untuk banyak orang tersedia food court untuk para pengunjung namun kurang tempat duduk yang menjadi kurang nyaman untuk akses naik busway juga gampang tinggal jalan sedikit untuk ke halte gedung unik tempat luass ada mesjid juga,gedung luas parkir bersih fasilitas eskalator toilet dll seminar nyaman sedia food court unjung duduk nyaman akses busway gampang tinggal jalan halte gedung unik luass mesjid
Ruang Kita,http://ruangkitatebet.com,2183795498,Function room facility,228,4.4,106.8460832,-6.2398112,Yes,Yes,No,Yes,Yes,No,187500,10,Small,Jl. Tebet Barat Dalam VII No.21. RT.9/RW.6. Tebet Bar.. Kec. Tebet. Kota Jakarta Selatan. Daerah Khusus Ibukota Jakarta 12810,Jakarta Selatan,"Tempatnya bersih dan nyaman banget untuk belajar, training, atau meeting yang tidak terlalu formal, Seperti di rumah tapi tetap bisa serius. Memang parkiran terbatas dan sekat antar ruangan tidak kedap suara, Tempatnya kondusif serta suasana ruangan sangat nyaman untuk digunakan. Akses ke jalan tol, tempat makan, dan mini market juga mudah untuk dijangkau. Pelayanannya pun ramah dan sangat welcome dalam membantu apabila kami memerlukan berbagai hal, biaya yang cukup terjangkau, Ruang Kita mampu menjadi tempat yang sangat recommended untuk menyelenggarakan berbagai acara, Tempatnya nyaman untuk buat berbagai kegiayan seminar dan workshop. Lengkap dengan refreshment area dan musholla. Hanya saja tempat parkirnya tidak terlalu luas, Tapi sayang parkirannya super dikit banget jadi kadang parkir di pinggir jalan, Cuma ga ada tempat parkir dan lumayan jauh dari tempat penjual makanan sih, Parkiran jg sangat terbatas, Parkir mobil perlu sedikit usaha, Tempatnya asik buat workshop sayang parkiran sempit, Ruang nya enak, hanya parkirnya sangat sempit, Parkir sempit",https://media.flyspaces.com/docs/2745-1507694254.jpg,tempat bersih dan nyaman banget untuk belajar training atau meeting yang tidak terlalu formal seperti di rumah tapi tetap bisa serius memang parkiran terbatas dan sekat antar ruangan tidak kedap suara tempat kondusif serta suasana ruangan sangat nyaman untuk digunakan akses ke jalan tol tempat makan dan mini market juga mudah untuk dijangkau pelayanan pun ramah dan sangat welcome dalam membantu apabila kami memerlukan berbagai hal biaya yang cukup terjangkau ruang kita mampu menjadi tempat yang sangat recommended untuk menyelenggarakan berbagai acara tempat nyaman untuk buat berbagai kegiayan seminar dan workshop lengkap dengan refreshment area dan musholla ha saja tempat parkir tidak terlalu luas tapi sayang parkiran super dikit banget jadi kadang parkir di pinggir jalan cuma ga ada tempat parkir dan lumayan jauh dari tempat penjual makanan sih parkiran jg sangat terbatas parkir mobil perlu sedikit usaha tempat asik buat workshop sayang parkiran sempit ruang enak ha parkir sangat sempit parkir sempit,bersih nyaman banget ajar training meeting formal rumah serius parkir batas sekat ruang kedap suara kondusif suasana ruang nyaman akses jalan tol makan mini market mudah jangkau layan ramah welcome bantu biaya jangkau ruang recommended selenggara acara nyaman kegiayan seminar workshop lengkap refreshment area musholla ha parkir luas sayang parkir super dikit banget kadang parkir pinggir jalan ga parkir lumayan jual makan sih parkir jg batas parkir mobil usaha asik workshop sayang parkir sempit ruang ha parkir sempit parkir sempit
Regus - Jakarta Menara BCA Grand Indonesia,http://regus.com,2123584400,Office space rental agency,194,4.5,106.821749,-6.19557,Yes,Yes,No,Yes,Yes,No,250000,10,Small,Menara BCA Grand Indonesia JI. Jl. M.H. Thamrin No.1. RT.1/RW.5. Menteng. Jakarta. Central Jakarta City. Jakarta 10310,Jakarta Pusat,"Good Location for Office, Clean and nyaman, higt Business atmosfer, tenang, buat meeteng dan konsentrasi tinggi jauh dari hiruk pikuk bising nya jalanan ibu kota, karena ada di lantai 50, kitchen nya rapih dan bersih, toilet bersih, ada mushollah, lobby, ruang tamu, resepsionist, think pod, dan ada sofa, keren deh pokok nya buat anak muda cocok bgt, regus keren,  Sewa ruang kantor yang bagus. Harga sewanya terjangkau & sudah termasuk meeting room, Wifi, printer & fax,  sumpah keren banget parkir liarnya kurang dari 5 menit disuruh bayar 5.000 terus ngotot lagi ..security nya juga payah banget masa parkir liar di izinin ama securtynya langsung hebat hebt..... ngasih kertas mengatas namamkan MENARA BCA GRAND INDONESIA keren banget yah salut dah sukses terus","https://coworker.imgix.net/photos/indonesia/jakarta/regus-jakarta-menara-bca-grand-indonesia/7e4164705dffd0e3e95959b8ed0aa4e3.jpg?w=800&h=0&q=90&auto=format,compress&fit=crop&mark=/template/img/wm_icon.png&markscale=5&markalign=center,middle",good location for office clean and nyaman higt business atmosfer tenang buat meeteng dan konsentrasi tinggi jauh dari hiruk pikuk bising jalanan ibu kota karena ada di lantai kitchen rapih dan bersih toilet bersih ada mushollah lobby ruang tamu resepsionist think pod dan ada sofa keren deh pokok buat anak muda cocok bgt regus keren sewa ruang kantor yang bagus harga sewa terjangkau sudah termasuk meeting room wifi printer fax sumpah keren banget parkir liar kurang dari menit disuruh bayar terus ngotot lagi security juga payah banget masa parkir liar di izinin ama securty langsung hebat hebt ngasih kertas mengatas namamkan menara bca grand indonesia keren banget yah salut dah sukses terus,good location for office clean and nyaman higt business atmosfer tenang meeteng konsentrasi hiruk pikuk bising jalan kota lantai kitchen rapih bersih toilet bersih mushollah lobby ruang tamu resepsionist think pod sofa keren deh pokok anak muda cocok bgt regus keren sewa ruang kantor bagus harga sewa jangkau meeting room wifi printer fax sumpah keren banget parkir liar menit suruh bayar ngotot security payah banget parkir liar izinin ama securty hebat hebt ngasih kertas namamkan menara bca grand indonesia keren banget yah salut dah sukses
