Title,Website,Phone Number,Category,Reviews,Rating,Longitude,Latitude,Facility Wifi,Facility Projector,Facility Food & Drink,Facility Whiteboard,Facility AV Equipment,Facility Stationeries,Harga,Kapasitas,Size Room,Address,Kabupaten,Review,Image
UnionSPACE - Metropolitan Tower (Serviced Office | Virtual Office | Meeting Room | Coworking),https://unionspace.co.th/Metropolitan-Tower.html,02129222922,Coworking space,189,4.6,106.7848043,-6.29297,Yes,Yes,Yes,Yes,No,Yes,300000,18,Small,Metropolitan Tower Lantai 13A Jl. R. A. Kartini. Jl. TB Simatupang No.Kav. 14. RT.10/RW.4. Cilandak Bar.. Kec. Cilandak. Kota Jakarta Selatan. Daerah Khusus Ibukota Jakarta 12430,Jakarta Selatan,"Nice place, Nice people !! Waktu saya dateng di sambut dengan baik  dengan kopi hangat yang sangat nikmat. Nyaman untuk bekerja,internet nya cepat, interior nya juga bagus cocok unuk hangout dan foto foto, Free coffee, good wifi & lots of friends, interior yang menarik didukung pula dengan internet cepat, cocok untuk meeting, suasananya cozy, dengan pelayanan staffnya yang ramah dan koperatif, Tempat udud deket parkir motor, hanya untuk ahli hisap, Ojol anter barang  bntar doang suruh bayar parkir",31.jpg
Avenue8 Offices,http://avenue8offices.com,02150200889,Coworking space,121,4.8,106.8276768,-6.1868509,Yes,Yes,Yes,Yes,No,No,200000,16,Small,Tamansari Parama Office. Jl. KH Wahid Hasyim No.84. RW.3. Kb. Sirih. Kec. Menteng. Jakarta. Daerah Khusus Ibukota Jakarta 10340,Jakarta Pusat,"Design meeting room nya professional and comfortable cocok buat team meeting or ketemu client. Lokasi juga sangat strategis, Pertama kali nya ngelihat desain bangunan sebagus ini dan ruangan nya bersih .salah satu tempat meeting room Jakarta yang paling oke sih, Tempat meeting ini dekat dan strategis, mudah dijnagkau. Meeting room ter best di jakarta,Virtual office Jakarta dengan arsitektur yang keren, Wifi juga kencang dan bersih banget",32.jpg
KEDASI @ The Cause Event Space & Auditorium,http://kedasi.co.id,081902330677,Event venue,64,4.5,106.8158076,-6.1971335,Yes,No,Yes,Yes,No,No,120000,20,Medium,Graha Niaga Thamrin Level 6. Kebon Kacang. Jl. K.H. Mas Mansyur. RT.2/RW.8. Kb. Melati. Kecamatan Tanah Abang. Kota Jakarta Pusat. Daerah Khusus Ibukota Jakarta 10230,Jakarta Pusat,"Tempat yang bagus untuk acara atau kegiatan meeting. Fleksibel, cukup murah, empat yang bagus untuk rapat umum, Pertemuan di sini enak tempstnya dapat makanannya jg enak..Keren, Parkiran sempit, kalo lg acara diaudit dengan jumlah besar akan kesulitan cari parkir. Begitu juga saat selesai acara, harus sabar menunggu lift",33.jpg
Kapuas Grand Ball Room,http://industri.orchardzhotel.com,02162317788,Meeting room,7,4.7,106.8359332,-6.1477728,Yes,Yes,Yes,Yes,Yes,Yes,5000000,200,Large,Orchardz Hotel. Jl. Industri Raya No.16. RT.16/RW.3. North Gunung Sahari. Sawah Besar. Central Jakarta City. Jakarta 10720,Jakarta Pusat,"Ruangannya cukup luas dan nyaman untuk rapat , Cukup representative utk acara atau kegiatan baik formal maupun non formal, Bagus dan nyaman ",34.jpg
vOffice Indonesia - Headquarter (Virtual Office | Serviced Office | Event Space | Meeting Room),http://voffice.co.id,081280055105,Office space rental agency,471,4.9,106.8207909,-6.2300537,Yes,Yes,Yes,Yes,No,No,250000,20,Medium,Level 29 Centennial Tower. Jl. Gatot Subroto No.27. RT.2/RW.2. Karet Semanggi. Kecamatan Setiabudi. Kota Jakarta Selatan. Daerah Khusus Ibukota Jakarta 12950,Jakarta Selatan,"Lokasi yang sangat strategis, fasilitas yang lengkap dan staff yang ramah dan responsif,sangat membantu perusahaan kami, Very Nice place to work, fasilitas komplit, tidak perlu repot2 untuk mengurus hal2 yang kecil seperti disediakan minum ketika meeting, disediakan OB untuk membersihkan kantor dan fasilitas pantry.. wifi dan telp jg sudah disediakan.. 👍🏼👍🏼👍🏼 recomended",35.jpg
KEDASI @Pluit | Co-Working Space | Serviced Office | Virtual Office | Meeting Room,http://kedasi.co.id,02122672230,Coworking space,14,5,106.7820138,-6.1170324,Yes,No,Yes,Yes,No,No,75000,12,Small,Jalan Muara Karang Raya No.24 A-B Lantai 2-3. RT.11/RW.3. Pluit. Penjaringan. North Jakarta City. Jakarta 14450,Jakarta Utara,"Di Kedasi akhirnya saya & team dpt tempat kerja yg bikin betah. Jadi ngak usah pindah-pindah lagi kaya sebelumnya deh, Kerja di Kedasi memang nyaman... temen2 Aja sample keasikan , Mantappp tempatnya,pelayananya juga OK,,suasananya nyaman jadi bikin Betah dan lama-lama di Kedasi..haha",36.jpg
Royal Ballroom Royal Kuningan Hotel Jakarta,http://www.royalkuningan.com,02129380738,Meeting room,70,4.5,106.8301607,-6.206857,Yes,No,Yes,Yes,Yes,Yes,12000000,100,Large,Royal Kuningan Hotel. Jl. Kuningan Mulia No.2. RT.1/RW.6. Guntur. Kecamatan Setiabudi. Kota Jakarta Selatan. Daerah Khusus Ibukota Jakarta 12980,Jakarta Selatan,"Tempat parkir juga cukup luas... sehingga membuat nyaman para tamu yang datang ke tempat ini, hotelnya mudah dijangkau, kualitas ruang meeting baik, rasa makanan enak, Lobby nyaman, harga makanannya juga terjangkau, akses mudah dicapai dan mudah ditemui, parkiran luas dan aman",37.jpg
The Executive Centre - Sampoerna Strategic Square,http://executivecentre.com,0215750800,Coworking space,11,4.5,106.8182258,-6.2167906,Yes,Yes,No,Yes,No,No,170000,12,Small,Level 18 & 30. South Tower. Sampoerna Strategic Square. Jl. Jenderal Sudirman No.Kav. 45-46. RT.3/RW.4. Karet Semanggi. Jakarta. Kota Jakarta Selatan. Daerah Khusus Ibukota Jakarta 12930,Jakarta Selatan,Great Offices!,38.jpg
HARRIS Hotel Tebet Jakarta,http://tebet-jakarta.harrishotels.com,0218303355,Meeting room,22,4.2,106.8479561,-6.2230159,Yes,Yes,Yes,Yes,Yes,Yes,250000,30,Medium,Jl. Dr. Saharjo No.191. RT.6/RW.1. Manggarai Sel.. Kec. Tebet. Kota Jakarta Selatan. Daerah Khusus Ibukota Jakarta 12960,Jakarta Selatan,"meeting room ok, Ruang meeting bersih dg desain simple, Coffee break lezat,
Ruang meeting bervarian, namun ada yg sempit, Meeting room Harris cukup oke, Makanannya enak juga, Ruang meeting sangat recommended, Tidak ada koordinasi antara vendor parkir dan hotel, musholla ny jauh dr ruang meeting dan ada di parkiran B2 itu bikin ilfeel sih",39.jpg
Virtual Office. Meeting Room. Event Space & Serviced Office - Deskby.com,http://deskby.com,085770003700,Meeting room,12,4.8,106.807781,-6.2240502,Yes,Yes,No,Yes,Yes,No,240000,4,Small,IDX Incubator. Menara Mandiri I. 16th Floor. Jl. Jenderal Sudirman No.Kav 54-55. RT.5/RW.3. Senayan. Kec. Kby. Baru. Kota Jakarta Selatan. Daerah Khusus Ibukota Jakarta 12190,Jakarta Selatan,"Tempat yang nyaman untuk bekerja di kawasan SCBD, Di dekat sini pun dekat dengan stasiun MRT baru, tempatnya cozy buat start up, Tempatnya bagus dan homie banget, dengan design yg menarik lalu penggunaan warna yang enak juga, Nyaman juga tempat untuk meetingnya",40.jpg
CEO SUITE One Pacific Place,http://ceosuite.com,02125502550,Business center,236,4,106.8102582,-6.2241031,Yes,Yes,Yes,Yes,Yes,Yes,200000,30,Medium,One Pacific Place. 15th Floor. Jl. Jenderal Sudirman No.Kav. 52-53. RT.5/RW.3. Senayan. Kec. Kby. Baru. Kota Jakarta Selatan. Daerah Khusus Ibukota Jakarta 12190,Jakarta Selatan,"suasana nyaman dengan interior yang mewah dan didukung oleh keramahan pelayanan staff yang terjaga, highly recommended, ruang meetingnya keren, Enak loh ngantor disini, lokasi nya oke, staff nya jg professional..gak nyesel milih berkantor disini, Design interiornya sangat mewah dan saya disambut dengan hangat oleh resepsionis yang ramah dan profesional. Dapat dikatakan bahwa CEO SUITE merupakan kantor berbintang 5, Saya mendapatkan pengalaman yang sangat menyenangkan dalam menggunakan fasilitas dan service CEO SUITE",41.jpg
SMESCO Indonesia,http://smescoindonesia.com,02127535400,Meeting room,128,4.5,106.835313,-6.241994,No,Yes,Yes,No,Yes,No,500000,15,Small,Jl. Gatot Subroto. RT.11/RW.3. Pancoran. Kec. Pancoran. Kota Jakarta Selatan. Daerah Khusus Ibukota Jakarta 12780,Jakarta Selatan,"Gedung yang sangat luas, parkir yang cukup baik. Kebersihan fasilitas umum seperti eskalator, toilet dll sangat baik, Tempat seminar yang nyaman untuk banyak orang tersedia food court untuk para pengunjung namun kurang nya tempat duduk yang menjadi kurang nyaman, untuk akses naik busway juga gampang tinggal jalan sedikit untuk ke haltenya, Gedung unik, Tempatnya luass, Ada mesjidnya juga",42.jpg
Ruang Kita,http://ruangkitatebet.com,02183795498,Function room facility,228,4.4,106.8460832,-6.2398112,Yes,Yes,No,Yes,Yes,No,187500,10,Small,Jl. Tebet Barat Dalam VII No.21. RT.9/RW.6. Tebet Bar.. Kec. Tebet. Kota Jakarta Selatan. Daerah Khusus Ibukota Jakarta 12810,Jakarta Selatan,"Tempatnya bersih dan nyaman banget untuk belajar, training, atau meeting yang tidak terlalu formal, Seperti di rumah tapi tetap bisa serius. Memang parkiran terbatas dan sekat antar ruangan tidak kedap suara, Tempatnya kondusif serta suasana ruangan sangat nyaman untuk digunakan. Akses ke jalan tol, tempat makan, dan mini market juga mudah untuk dijangkau. Pelayanannya pun ramah dan sangat welcome dalam membantu apabila kami memerlukan berbagai hal, biaya yang cukup terjangkau, Ruang Kita mampu menjadi tempat yang sangat recommended untuk menyelenggarakan berbagai acara, Tempatnya nyaman untuk buat berbagai kegiayan seminar dan workshop. Lengkap dengan refreshment area dan musholla. Hanya saja tempat parkirnya tidak terlalu luas, Tapi sayang parkirannya super dikit banget jadi kadang parkir di pinggir jalan, Cuma ga ada tempat parkir dan lumayan jauh dari tempat penjual makanan sih, Parkiran jg sangat terbatas, Parkir mobil perlu sedikit usaha, Tempatnya asik buat workshop sayang parkiran sempit, Ruang nya enak, hanya parkirnya sangat sempit, Parkir sempit",43.jpg
Regus - Jakarta Menara BCA Grand Indonesia,http://regus.com,02123584400,Office space rental agency,194,4.5,106.821749,-6.19557,Yes,Yes,No,Yes,Yes,No,250000,10,Small,Menara BCA Grand Indonesia JI. Jl. M.H. Thamrin No.1. RT.1/RW.5. Menteng. Jakarta. Central Jakarta City. Jakarta 10310,Jakarta Pusat,"Good Location for Office, Clean and nyaman, higt Business atmosfer, tenang, buat meeteng dan konsentrasi tinggi jauh dari hiruk pikuk bising nya jalanan ibu kota, karena ada di lantai 50, kitchen nya rapih dan bersih, toilet bersih, ada mushollah, lobby, ruang tamu, resepsionist, think pod, dan ada sofa, keren deh pokok nya buat anak muda cocok bgt, regus keren,  Sewa ruang kantor yang bagus. Harga sewanya terjangkau & sudah termasuk meeting room, Wifi, printer & fax,  sumpah keren banget parkir liarnya kurang dari 5 menit disuruh bayar 5.000 terus ngotot lagi ..security nya juga payah banget masa parkir liar di izinin ama securtynya langsung hebat hebt..... ngasih kertas mengatas namamkan MENARA BCA GRAND INDONESIA keren banget yah salut dah sukses terus",44.jpg
Kempinski Grand Ballroom,http://kempinski.com,02123583800,Event venue,400,4.7,106.8199265,-6.1951857,Yes,Yes,Yes,Yes,Yes,Yes,50000000,300,Large,Grand Indonesia. West Mall. Jl. M.H. Thamrin No.1. Daerah Khusus Ibukota Jakarta 10230,Jakarta Pusat,"Grand Ballroom.....fasilitas n pelayanan oke, Bagus, bersih, security dan staf yang ramah, car parking dan akses yang mudah menuju lobby dan ballroom, Terdapat restoran dan  lounge yang akan memanjakan selera kita, Tempat y bagus nyaman ballroom y luas, ballroom dan cukup impresif dalam hal fasilitas dan makanan dari pihak hotel, Pada jam tertentu jalanan menuju hotel ini sangat macet. Ballroom mereka cukup mewah, luas, bersih dan rapi. Staffnya cukup ramah, Tempat utk training nya di ballroom oke keren .... dan menu snack dan lunch nya .... menggiurkan rasa dan tampilan nya, Lokasi di tengah kota, parkiran luas, tempat nyaman",45.jpg
CEO SUITE Sahid Sudirman Center,http://ceosuite.com,02180631888,Business center,56,4.4,106.8185809,-6.2108744,Yes,Yes,Yes,Yes,Yes,Yes,200000,30,Medium,Sahid Sudirman Centre. Jl. K.H. Mas Mansyur No.86. RT.10/RW.11. Karet Tengsin. Kecamatan Tanah Abang. Kota Jakarta Pusat. Daerah Khusus Ibukota Jakarta 10250,Jakarta Pusat,"Kantor mewah dengan layanan premium.
Mereka memiliki fasilitas kelas atas untuk mendukung pertemuan saya dan semua staf sangat profesional dan membantu, saya tidak pernah kecewa, ini akan dengan mudah menilai sebagai salah satu yang terbaik, Kantor yang sangat baik, layanan yang sangat baik.. tempat yang bagus untuk bekerja",46.jpg
MULA Kotatua Jakarta,http://mulaindonesia.com,08119466466,Coworking space,252,5,106.8122585,-6.1340332,Yes,Yes,No,Yes,Yes,No,150000,20,Medium,Patokan : Seberang Halte Transjakarta (Busway) Museum Fatahillah. Jl. Kali Besar Timur 4 Blok Cipta Niaga No.37. Pinangsia. Kec. Taman Sari. Kota Jakarta Barat. Daerah Khusus Ibukota Jakarta 11110,Jakarta barat,"Coworking space yang letaknya sangat strategis di dekat tempat wisata Kota Tua, sudah beberapa kali mengunjungi mula dan tidak pernah kecewa, Tempatnya enak banget buat kerja. Adem, ga berisik. Tenang. Koneksi wifinya kenceng, Menyenangkan sekali pakai coworking space di sini. Wifi lancar, tempat nyaman, dan tidak ada gangguan sama sekali",47.jpg
GoWork fX Sudirman - Coworking and Office Space,http://go-work.com,02129264178,Coworking space,234,4.6,106.8040011,-6.2244473,Yes,Yes,No,Yes,Yes,No,125000,8,Small,fX Sudirman. 7th Floor. Jl. Jenderal Sudirman Jl. Pintu Satu Senayan. RT.1/RW.3. Gelora. Kecamatan Tanah Abang. Kota Jakarta Pusat. Daerah Khusus Ibukota Jakarta 10270,Jakarta Pusat,"Tempat yang asik untuk kerja, Tempatnya nyaman banget buat kerja , AC nya dingin , bersih, aman , Pelayanannya bagus , tempatnya juga strategis, Tempat yang asik buat kerja, bersih dah staff nya baik banget. Aku sih rekomendasiin buat kalian yang cari tempat cozy dan asyik bisa mampir kesini guys",48.jpg
Swissôtel Jakarta PIK Avenue,http://swissotel.com,02122571000,Event venue,14,4.4,106.7409403,-6.1094677,Yes,Yes,Yes,Yes,Yes,Yes,500000,60,Large,Pantai Indah Kapuk St. RT.6/RW.2. Kamal Muara. Penjaringan. North Jakarta City. Jakarta 14470,Jakarta Utara,"Pergi ke sana untuk rapat. Cukup nyaman, Meeting room ok banget, untuk meeting ataupun training jg oke nih tempatnya, Ruang meeting dan koneksi wifi yang baik, Hanya saja parkir cukup sulit untuk didapat jika mencari di basement, Kami kesulitan memarkirkan mobil krn jatah parkir area hotel di basement tidak dijaga,  sehingga diparkiri oleh bukan tamu hotel, parkir cukup memadai hanya saja berada di basement.",49.jpg
HUB2U Coworking Space,https://www.instagram.com/hub2u.id/?hl=en,02145878111,Coworking space,106,4,106.9006047,-6.1676388,Yes,Yes,No,Yes,Yes,No,100000,8,Small,Jl. Boulevard Raya Blok TT2 No.17. RT.10/RW.15. Klp. Gading Tim.. Kec. Klp. Gading. Kota Jkt Utara. Daerah Khusus Ibukota Jakarta 14240,Jakarta Utara,"Tempat bekerja ideal yang nyaman dan produktif, Coworking Space, paling murah se-DKI Jakarta, fasilitas dan layanannya gak sebanding dengan harga yang terbilang cukup mahal, Space buat parkir di depan juga sempit dan kepanggang oleh matahari, Untuk parkir motor aja susah, apalagi mobil, Disarankan untuk tidak membawa mobil sendiri ketika datang ke sini, karena slot parkir sangat terbatas",50.jpg
ke:kini ruang bersama,https://www.instagram.com/kekinicoworking/?hl=en,0816713600,Coworking space,328,4.4,106.8371413,-6.188207,Yes,No,No,Yes,Yes,No,150000,10,Small,Jalan Cikini Raya No 45 Cikini Menteng RT.16. RT.16/RW.1. Cikini. Kec. Menteng. Kota Jakarta Pusat. Daerah Khusus Ibukota Jakarta 10330,Jakarta Pusat,"Tempatnya sangat strategis dan mudah diakses dgn berbagai moda transportation massal, Nyaman buat kerja atau meeting, Juga ada kopi enak, Tempatnya nyaman. Cepat akses internet nya, Area parkir terbatas, sempit, Tempat lumayan cozy tp sempit dan parkir susah, Parkir bisa menjadi tantangan, Sulit mencari tempat parkir",51.jpg
Working Zone,http://workingzone.id,088211614789,Coworking space,36,4.8,106.8174564,-6.2414624,Yes,Yes,No,No,Yes,No,85000,6,Small,Nomor 42.A. Jl. Bangka Raya. Pela Mampang. Kec. Mampang Prpt.. Kota Jakarta Selatan. Daerah Khusus Ibukota Jakarta 12720,Jakarta Selatan,"Coworking space yg sangat nyaman buat bekerja, Sangat nyaman, Bagus tempatnya, Nice place to work, friendly staff and fast internet, Ini memiliki tempat parkir yang luas",52.jpg
Golden Ballroom - The Sultan Hotel & Residence Jakarta,http://sultanjakarta.com,0215703600,Convention center,363,4.8,106.8099382,-6.2173852,Yes,Yes,Yes,No,Yes,Yes,450000,140,Large,Jl. Gatot Subroto. RT.1/RW.3. Gelora. Kecamatan Tanah Abang. Kota Jakarta Pusat. Daerah Khusus Ibukota Jakarta 10270,Jakarta Pusat,"Lokasi di pusat kota, Very comfortable, Good venue, strategic location, good sound system too, Strategis, luas parkirnya, good hospitality dr petugasnya, sangat rekomendasi jika ada event² besar dan parkirnya sangat luas",53.jpg
GoWork Coworking and Office Space,http://go-work.com,02130006718,Coworking space,296,4.7,106.822788,-6.1993051,Yes,Yes,No,Yes,Yes,No,125000,12,Small,Chubb Square. 9th Floor. Jl. M.H. Thamrin No.10. RT.14/RW.20. Kb. Melati. Kecamatan Tanah Abang. Kota Jakarta Pusat. Daerah Khusus Ibukota Jakarta 10230,Jakarta Pusat,"Tempatnya nyaman banget, Staff nya juga friendly banget! Ditempat ini kita bisa berkarya sambil menikmati hidangan tanpa harus meninggalkan pekerjaan, karena kantor dan cafe ada dalam satu lokasi yang sama, Tempatnya strategis banget, dapat dijangkau dengan semua transportasi umum seperti kereta bandara, MRT dan juga Busway.",54.jpg
vOffice - Office 8 (Virtual Office | Serviced Office | Meeting Room),http://voffice.co.id,081280055105,Office space rental agency,1505,4.6,106.8072141,-6.2272408,Yes,Yes,Yes,Yes,Yes,Yes,250000,8,Small,Scbd. Office 8. Jl. Jenderal Sudirman No.8. RW.3. Senayan. Kebayoran Baru. Jakarta 12190,Jakarta Selatan,"Tempat nya strategis banget, Pelayanan cepat tanggap, sangat membantu dan sangat terjangkau untuk harga yang ditawarkan dengan fasilitas yang didapat sangat pas, Tempat sangat strategis , memberikan kenyamanan juga yang terpenting, pelayanan nya sangat ramah dan baik, Tempat dan lokasi bagus, cust servicenya ramah dan fast response, parkiran cukup banyak slotnya, Parkiran mobil dan motornya luas juga, Parkiran motor tersedia, masuk melalui pintu utama di jalan senopati raya, Akses mudah dan parkir gampang, Parkir cukup nyaman, Parkir motor tamu harus di luar dan tidak boleh dikunci stang atau digembok, Parkir luas, ada ATM, parkir luas, parkir mudahTempat parkir sepeda motor hanya untuk anggota",55.jpg
Hotel Amaris Meeting Room,https://amarishotel.com/id/hotel/amaris-hotel-mangga-besar/,0216262908,Meeting room,2,3.5,106.8189623,-6.1494072,Yes,Yes,Yes,Yes,Yes,Yes,375000,15,Small,Jl. Raya Mangga Besar No.6. RT.6/RW.5. Mangga Besar. Kec. Taman Sari. Kota Jakarta Barat. Daerah Khusus Ibukota Jakarta 11170,Jakarta barat,"Bagus rapi & ramah, murah lagi, Parkiran cukup kecil, tapi kalau hujan aman karna drop off aman dr hujan",56.jpg
MARQUEE - Cyber ​​2,http://marqueeoffices.com,02175999999,Office space rental agency,91,4.6,106.8323666,-6.226387,Yes,Yes,Yes,Yes,Yes,No,150000,8,Small,Cyber2 Tower. 17th-18th Floor. Jl. H. R. Rasuna Said Blok X-5. RT.7/RW.2. Kuningan. Kuningan Tim.. Kecamatan Setiabudi. Kota Jakarta Selatan. Daerah Khusus Ibukota Jakarta 12950,Jakarta Selatan,"Executive Office, Virtual Office, Cohost yang sangat berkembang, nyaman, dan ramah, Servicenya bagus banget, tempat nya juga nyaman & bersih banget, Kantornya nyaman dan akses internetnya cepat, Tempat meeting terbaik, dengan pemandangan yg indah, parkir bayar mahal",57.jpg
vOffice - East Rawamangun (Virtual Office | Serviced Office | Meeting Room),http://voffice.co.id,081280055105,Office space rental agency,46,4.8,106.8908071,-6.197018673,Yes,Yes,Yes,Yes,Yes,Yes,250000,8,Small,"Jl. Perserikatan No.1, RT.2/RW.8, Rawamangun, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13220",Jakarta Timur,"Service office yang lengkap fasilitasnya, Pelayanan dan smoking area ok, Tempat nyaman untuk bekerja, Pelayanan ramah, dan mau bantu data-data jika ada yg kurang, Responsif, Tempat parkir terbatas untuk mobil, dan kurangnya perawatan di dalam gedung.",58.jpg
EastSquare Business Center,https://www.eastsquare.biz/,08128095500,Meeting room,38,4.4,106.8944942,-6.193699904,No,No,Yes,Yes,No,Yes,150000,6,Small,"Jl. Pemuda No.65, Rawamangun, Jakarta Timur",Jakarta Timur,"Tempatnya nyaman untuk berkerja dengan pelayanan yang bagus, sangat direkomendasikan untuk yang mencari coworking space di sekitaran rawamangun, Wilayah strategis, banyak akses transportasi disekitarnya, Kantornya bagus, resepsionis supel, Kantor apik, harga standar, Kantor yang strategis lokasinya.",59.jpg
Kecapi Meeting Room Santika Hotel TMII,https://www.mysantika.com/,02129378500,Hotel,9,4.7,106.8866947,-6.302934328,Yes,Yes,Yes,Yes,Yes,Yes,500000,60,Large,"Jl. Hankam Raya No.46, RT.1/RW.2, Ceger, Kec. Cipayung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13820",Jakarta Timur,"Ruang meeting lumayan besar Dan AC nya dingin banget, Keren musholla nya samping Ruang meeting, Mantap, Keren tempatnya.",60.jpg
Balairung Meeting Room,http://balairung-hotel.co.id/,02185917217,Hotel,7,4.4,106.8548808,-6.199692838,Yes,Yes,Yes,Yes,Yes,Yes,400000,100,Large,"Jl. Matraman Raya No.19, RT.1/RW.1, Palmeriam, Kec. Matraman, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13320",Jakarta Timur,"Di depan gedung ini terdapat halte busway, tempat meeting",61.jpg
iOffice - Jakarta (Virtual Office | Serviced Office | Meeting Room | IT Training),http://ioffice.co.id/,081212341673,Office space rental agency,3,5,106.8856659,-6.192790806,Yes,Yes,Yes,Yes,No,No,120000,20,Medium,"Jl. Pemuda No.15, RT.8/RW.4, Rawamangun, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13220",Jakarta Timur,"Tempatnya strategis, dan nyaman, harga worth it. ",62.jpg
Vin & Co.Working,https://vincoworking.id/,081386468028,Meeting room,32,4.9,106.8827501,-6.226598323,Yes,Yes,Yes,No,No,No,100000,16,Small,Jl. Raya Cipinang Besar Selatan No. 8 - Gedung Vinoti Living,Jakarta Timur,"Lokasi sangat strategis, dan mudah dijangkau, Tempatnya nyaman  akses ke lokasi gampang, Tempat enak dan nyaman buat kerja dan berkegiatan baik di outdoor maupun indoor, Tempatnya menarik, harganya asyik, lokasi strategis, enak buat kerja. Tempat yg flexible dan nyaman",63.jpg
Reneospace,https://www.instagram.com/reneospace/,02122088851,Coworking space,157,4.8,106.8990555,-6.241557965,Yes,No,Yes,Yes,No,No,100000,10,Small,"Jl. Pondok Bambu Batas Bambu No.14, RT.3/RW.12, Pd. Bambu, Kec. Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13430",Jakarta Timur,"Tempatnya nyaman, Cocok untuk yang ingin menyewa kantor atau tempat meeting di sekitaran Jakarta Timur, Tempatnya cozy banget, Cocok buat meeting bareng klien, atau buat ngumpul bareng komunitas, Terletak satu area dengan klinik, Ada coffeshop di pintu masuk yang bikin suasananya wangi kopi, Multifunction roomnya enak dan adem,  homy banget suasananya, Tempatnya nyaman, lingkungannya pun tenang tepat untuk meeting maupun utk mengerjakan tugas akhir, Parkiran aman.",64.jpg
